run_id,timestamp_utc,experiment,dataset,model,config_hash,seed,split_id,regime,n_train,n_test,n_features,n_params,accuracy,balanced_accuracy,f1,roc_auc,train_time_s,eval_time_s,git_commit
622a013bcc9a,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,0,s0_f0,classical,1097,275,4,,1.000000,1.000000,1.000000,1.000000,0.0018,0.0039,18d224d
b4f9335cbecd,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,0,s0_f1,classical,1097,275,4,,1.000000,1.000000,1.000000,1.000000,0.0010,0.0032,18d224d
e19db925c74d,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,0,s0_f2,classical,1098,274,4,,0.996350,0.996711,0.995918,0.996711,0.0010,0.0030,18d224d
df72dd45e1eb,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,0,s0_f3,classical,1098,274,4,,1.000000,1.000000,1.000000,1.000000,0.0010,0.0032,18d224d
6cd94fd66515,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,0,s0_f4,classical,1098,274,4,,0.996350,0.996711,0.995918,0.996711,0.0010,0.0029,18d224d
68851ce4f00e,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,1,s1_f0,classical,1097,275,4,,0.996364,0.996732,0.995918,0.996732,0.0009,0.0029,18d224d
1e17592f2032,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,1,s1_f1,classical,1097,275,4,,0.996364,0.996732,0.995918,0.996732,0.0009,0.0031,18d224d
8e0819fc6e34,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,1,s1_f2,classical,1098,274,4,,1.000000,1.000000,1.000000,1.000000,0.0010,0.0031,18d224d
818a6f5ca9b9,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,1,s1_f3,classical,1098,274,4,,1.000000,1.000000,1.000000,1.000000,0.0009,0.0029,18d224d
0a3236a4ec8d,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,1,s1_f4,classical,1098,274,4,,1.000000,1.000000,1.000000,1.000000,0.0009,0.0029,18d224d
74b28056ee67,2026-07-06T16:34:08+00:00,e1_baselines_default,banknote,knn,5de76b8293,2,s2_f0,classical,1097,275,4,,1.000000,1.000000,1.000000,1.000000,0.0009,0.0029,18d224d
